feature,f_classif_score,model
NM_018130,11.025066020307616,Logistic Regression
NM_001013659,11.013153831554558,Logistic Regression
NM_001354,11.003890268108066,Logistic Regression
BC036501,11.002109960854131,Logistic Regression
NM_004230,11.001021345580087,Logistic Regression
U57094,10.999996081816823,Logistic Regression
NM_017717,10.990254649448469,Logistic Regression
NM_032795,10.98369526900263,Logistic Regression
BC000612,10.982636461663775,Logistic Regression
AK001926,10.980564894173662,Logistic Regression
NM_177976,10.977267807824115,Logistic Regression
NM_015245,10.95210037414329,Logistic Regression
AK125263,10.949191746126697,Logistic Regression
NM_001014443,10.904609697381915,Logistic Regression
BC009403,10.891219909836753,Logistic Regression
BC063424,10.887916252274714,Logistic Regression
BC032355,10.881741770298442,Logistic Regression
NM_015359,10.879925558512216,Logistic Regression
BC062362,10.875786198324835,Logistic Regression
NM_005897,10.865815910517444,Logistic Regression
NM_003707,10.86228443590646,Logistic Regression
NM_000097,10.833505022985639,Logistic Regression
BC022781,10.829663600576856,Logistic Regression
NM_145043,10.82655585393184,Logistic Regression
NM_004459,10.813763291667607,Logistic Regression
NM_001001675,10.813371191857138,Logistic Regression
NM_138341,10.796718117563586,Logistic Regression
NM_001012733,10.772375701278657,Logistic Regression
BC001382,10.768279363174832,Logistic Regression
NM_014251,10.755719858444989,Logistic Regression
NM_199045,10.750745822877606,Logistic Regression
XM_373277,10.748572369493623,Logistic Regression
AY346333,10.744705203066566,Logistic Regression
NM_033543,10.74455465975698,Logistic Regression
NM_018244,10.73791948307019,Logistic Regression
BC005141,10.730386185152602,Logistic Regression
NM_032340,10.717712984206143,Logistic Regression
NM_020771,10.684997820715083,Logistic Regression
XM_928238,10.670580406628627,Logistic Regression
NM_025080,10.666700031462346,Logistic Regression
NM_001870,10.65366520561992,Logistic Regression
NM_006750,10.644986722491328,Logistic Regression
BC093975,10.643764805908873,Logistic Regression
BC070135,10.639954099670991,Logistic Regression
XM_928271,10.638576091110991,Logistic Regression
BC012327,10.626692575557254,Logistic Regression
NM_152277,10.626212984962374,Logistic Regression
NM_003656,10.625936782920984,Logistic Regression
NM_014652,10.623776996924752,Logistic Regression
