sample_id,PC1,PC2,label
GSM999978,12.484055836902503,-31.61398762176236,Asthma
GSM999979,-177.90026515909406,-59.28866475962387,Control
GSM999980,139.89965135402198,22.36586489438626,Control
GSM999981,-219.39420986855393,-25.237535236087336,Control
GSM999982,-345.3598307345641,133.0789505263959,Asthma
GSM999983,147.3760565069076,87.18378280714023,Asthma
GSM999984,-88.21677712379567,-48.66923065506734,Asthma
GSM999985,34.72733173976182,52.621155662979,Asthma
GSM999986,28.570784212199484,-39.35395317761925,Asthma
GSM999987,-257.7437767967503,21.22961905927745,Asthma
GSM999988,138.76938065835387,6.5198718589992435,Asthma
GSM999989,-34.74893656447821,-50.399584471151194,Asthma
GSM999990,-168.93772765405902,-51.13731321219577,Control
GSM999991,-212.70120823989083,7.431529895065219,Control
GSM999992,1.3472224200007097,-3.742191410074726,Control
GSM999993,89.70595283831244,10.675683964483866,Asthma
GSM999994,-178.74016165248318,-90.60743312132023,Asthma
GSM999995,58.2135541683753,-65.56751598623498,Asthma
GSM999996,-26.06388963759379,-51.53319005650205,Control
GSM999997,-85.04604255056647,-30.76956397092031,Asthma
GSM999998,97.66656614900543,-15.41962969083909,Asthma
GSM999999,138.65845203767822,-2.826036225628057,Asthma
