feature,f_classif_score,model
GRIA3,4.778526044371607,Random Forest
SLC7A8,4.775106808006219,Random Forest
HMGB1,4.772425315665181,Random Forest
TM6SF1,4.770547949611201,Random Forest
CCDC186,4.7699261455206345,Random Forest
SLC4A9,4.765734658489741,Random Forest
THUMPD1,4.757951949518297,Random Forest
FLNB,4.743393408545633,Random Forest
ZNF514,4.73877981579771,Random Forest
ZNF804B,4.738355859282497,Random Forest
NR1D2,4.729862072412741,Random Forest
C5,4.720502910600085,Random Forest
EMB,4.714859282473719,Random Forest
SPAM1,4.711089711976846,Random Forest
SCN2A,4.710370156419476,Random Forest
DCP1A,4.703193270390275,Random Forest
PLEKHA6,4.696999903587717,Random Forest
ZNF483,4.681056668751481,Random Forest
SPATA45,4.67439960762598,Random Forest
RECQL5,4.671618544748749,Random Forest
CARD16,4.669957992052255,Random Forest
FGF2,4.664031992396533,Random Forest
SCAF11,4.658241750177352,Random Forest
ANXA10,4.657785513377345,Random Forest
CASP8,4.656921771435613,Random Forest
PRSS23,4.656249597976252,Random Forest
TFB1M,4.633600385043632,Random Forest
HERC1,4.630588061111516,Random Forest
RPS18,4.6293453634069825,Random Forest
MS4A4A,4.628045119817074,Random Forest
ARF1,4.627345804277339,Random Forest
B3GAT2,4.626311007732522,Random Forest
TBP,4.6245262393149025,Random Forest
RPL5,4.6209088877452,Random Forest
DCAF16,4.612811604390517,Random Forest
COPZ2,4.612605833084098,Random Forest
SLC17A4,4.607845323378839,Random Forest
IFITM2,4.604284516722515,Random Forest
IL13RA2,4.597331543775827,Random Forest
DPY19L3,4.593558588288038,Random Forest
C1orf43,4.579608254629958,Random Forest
VSNL1,4.573128729797192,Random Forest
ZZZ3,4.568806356148263,Random Forest
SCN1A,4.568113071580306,Random Forest
DOCK10,4.566134510484612,Random Forest
CHKA,4.559476218167894,Random Forest
BBX,4.554846326125767,Random Forest
S100A8,4.5503200411473586,Random Forest
SCIN,4.5422510816418855,Random Forest
SERPINE1,4.541810308012329,Random Forest
PDE1C,4.541200415318081,Random Forest
CAPN12,4.537855785462602,Random Forest
SPX,4.527652538265273,Random Forest
IFNGR1,4.526932609042306,Random Forest
AVPR1A,4.524707771577781,Random Forest
ZBTB20,4.514009080674747,Random Forest
CXCL11,4.500990684616899,Random Forest
CLIC5,4.4957795205352795,Random Forest
TPI1,4.487890370131726,Random Forest
STX10,4.487210689470461,Random Forest
